ship_date,origin_zone,dest_zone,carrier,service_level,package_weight_lbs,package_length_in,package_width_in,package_height_in,package_volume_cubic_in,insurance_value,transit_time_days,shipping_cost_usd
2024-02-22,2,4,FedEx,PRIORITY,4.7,18.6,13.8,6.1,1563.11,577.12,2.77,23.86
2024-02-15,5,9,DHL,ECONOMY,1.74,10.8,7.9,3.5,300.5,1339.05,13.57,16.32
2024-07-09,2,3,Amazon_Logistics,PRIORITY,3.63,18.0,12.7,6.1,1390.28,239.7,4.56,14.11
2023-05-28,3,5,USPS,ECONOMY,3.73,16.5,13.6,6.4,1425.76,1213.61,7.96,9.58
2024-11-19,4,5,OnTrac,PRIORITY,0.84,10.2,7.6,1.9,144.61,982.18,3.44,10.64
2023-03-18,2,7,LaserShip,OVERNIGHT,5.44,16.7,13.7,6.3,1437.47,97.73,2.42,23.81
2024-11-23,5,3,UPS,EXPRESS,4.71,16.0,10.8,8.0,1375.55,889.25,2.44,22.5
2024-06-12,9,1,OnTrac,STANDARD,1.62,12.6,10.4,3.0,386.65,159.74,7.15,8.14
2023-09-14,9,1,OnTrac,EXPRESS,3.55,18.4,14.0,6.1,1570.51,1169.19,2.43,21.52
2024-03-21,3,1,FedEx,STANDARD,3.56,20.6,15.3,7.9,2510.35,735.66,6.0,14.41
2023-05-26,6,4,LaserShip,OVERNIGHT,4.4,19.5,11.0,7.0,1504.24,506.56,1.16,21.87
2024-06-16,9,7,USPS,PRIORITY,1.1,9.2,8.1,2.1,157.77,1501.46,5.16,11.69
2024-04-23,3,7,FedEx,EXPRESS,2.05,10.9,9.4,2.4,248.13,366.93,3.29,23.06
2023-05-29,4,5,UPS,STANDARD,3.49,11.6,12.5,3.9,569.62,1576.88,4.45,13.09
2023-10-26,1,8,USPS,STANDARD,3.15,14.0,11.1,3.7,577.42,407.15,6.32,11.99
2024-04-03,5,4,DHL,PRIORITY,2.17,14.2,11.6,4.4,725.45,57.09,2.95,22.07
2024-10-26,6,5,FedEx,STANDARD,1.53,12.4,8.3,3.7,381.77,1934.11,7.45,13.38
2023-02-24,9,7,UPS,PRIORITY,5.97,19.3,14.1,7.7,2096.39,1962.49,4.7,24.17
2024-07-21,1,2,Amazon_Logistics,PRIORITY,2.72,16.3,15.0,7.0,1691.59,365.35,2.62,9.83
2024-02-19,2,7,UPS,OVERNIGHT,4.26,17.5,15.0,7.4,1932.18,1459.8,2.2,29.15
2024-12-24,9,2,UPS,STANDARD,8.44,19.9,17.9,12.7,4523.48,1800.01,3.03,18.95
2023-11-16,1,7,FedEx,PRIORITY,1.22,10.4,9.6,3.2,317.13,1044.64,3.55,15.51
2023-06-24,4,6,LaserShip,ECONOMY,9.36,23.8,19.7,10.2,4809.1,149.25,10.94,13.6
2023-08-11,6,2,OnTrac,PRIORITY,3.8,15.8,10.8,7.3,1249.12,1801.09,5.48,14.84
2024-08-06,7,6,Amazon_Logistics,PRIORITY,8.12,22.3,18.4,11.8,4841.45,1397.44,4.9,22.13
2023-12-19,4,7,Amazon_Logistics,EXPRESS,2.7,15.2,11.3,7.7,1314.21,1881.32,2.39,23.63
2023-04-12,5,7,OnTrac,EXPRESS,0.85,11.6,7.8,2.2,197.39,1669.11,4.99,22.2
2024-01-23,4,7,UPS,PRIORITY,0.83,9.9,7.2,1.5,108.44,1217.26,3.57,13.57
2024-01-08,8,8,UPS,STANDARD,5.88,15.0,10.7,10.0,1605.56,435.27,7.21,20.64
2023-08-26,2,5,DHL,EXPRESS,0.89,10.1,7.3,2.5,181.02,1331.07,2.45,25.3
2023-02-24,2,4,Amazon_Logistics,PRIORITY,6.91,14.6,10.3,9.1,1375.49,627.73,2.87,17.35
2024-10-11,3,1,LaserShip,EXPRESS,1.24,11.2,8.6,2.7,262.56,497.24,2.54,13.03
2023-11-17,2,8,DHL,ECONOMY,6.96,24.6,17.9,11.6,5107.58,1773.41,10.73,25.05
2023-05-31,7,8,Amazon_Logistics,EXPRESS,9.78,25.2,16.2,12.2,4984.71,495.53,2.47,28.33
2024-06-11,2,7,OnTrac,OVERNIGHT,1.79,13.1,11.6,3.5,538.39,360.01,1.58,26.4
2023-10-27,8,1,OnTrac,ECONOMY,0.53,10.3,7.3,2.2,163.61,505.9,9.07,3.47
2023-02-27,8,3,LaserShip,OVERNIGHT,7.85,22.4,18.1,10.5,4240.65,1338.48,1.98,25.12
2023-12-18,6,8,Amazon_Logistics,ECONOMY,1.03,10.8,7.1,2.2,166.01,1631.86,6.4,8.91
2024-05-03,9,8,Amazon_Logistics,STANDARD,2.46,14.8,10.8,4.2,673.85,1489.87,8.08,12.46
2023-02-27,5,4,DHL,STANDARD,4.59,17.9,12.3,8.4,1848.09,561.85,6.45,17.48
2024-10-24,8,4,LaserShip,ECONOMY,5.94,18.7,13.4,6.3,1570.91,885.35,12.78,8.83
2024-12-29,4,5,OnTrac,PRIORITY,3.35,20.2,13.4,4.2,1127.87,646.22,3.1,14.88
2023-11-24,3,3,Amazon_Logistics,OVERNIGHT,2.68,14.0,12.8,4.2,755.93,772.24,1.72,18.11
2023-11-09,2,7,FedEx,EXPRESS,10.44,24.6,19.4,9.3,4447.62,668.45,2.87,32.85
2023-12-02,1,4,DHL,STANDARD,8.92,25.5,22.1,12.3,6948.16,785.06,6.49,26.3
2024-06-25,1,7,LaserShip,ECONOMY,7.69,26.0,16.5,12.1,5188.91,21.73,13.44,15.0
2024-11-17,7,7,UPS,PRIORITY,0.64,11.0,7.6,1.9,160.81,1497.56,3.82,17.13
2024-05-17,4,8,Amazon_Logistics,ECONOMY,3.56,15.1,10.0,4.5,679.99,553.14,12.17,13.18
2024-08-22,7,6,DHL,OVERNIGHT,6.5,14.8,10.5,5.9,909.72,1361.49,2.07,39.04
2023-08-16,8,3,DHL,EXPRESS,0.82,10.3,7.1,2.7,199.52,1072.91,2.69,26.79
2024-01-03,1,2,DHL,ECONOMY,5.47,16.8,12.3,7.1,1450.77,862.94,13.0,13.68
2024-06-27,3,1,LaserShip,STANDARD,4.09,20.9,13.3,5.1,1416.38,764.42,6.67,10.81
2024-01-30,6,6,FedEx,STANDARD,7.77,19.9,20.8,11.7,4847.66,563.73,5.09,20.21
2024-09-23,5,2,LaserShip,STANDARD,6.3,26.0,18.1,9.7,4558.26,48.57,6.56,15.55
2023-11-21,6,4,Amazon_Logistics,OVERNIGHT,4.73,15.6,10.2,7.7,1224.38,146.55,0.77,26.11
2024-04-30,1,4,OnTrac,OVERNIGHT,3.43,13.7,11.8,5.1,822.19,1680.07,1.64,23.41
2023-03-30,4,3,Amazon_Logistics,EXPRESS,8.46,30.2,18.1,12.0,6570.33,1342.22,2.62,26.1
2024-05-28,8,5,Amazon_Logistics,EXPRESS,3.74,17.0,13.2,6.0,1340.7,343.9,2.48,20.44
2024-03-26,3,5,Amazon_Logistics,OVERNIGHT,1.83,11.7,10.4,1.8,218.79,1161.58,2.05,18.02
2024-03-02,7,7,UPS,ECONOMY,4.22,15.5,11.6,6.3,1126.72,404.68,7.66,15.54
2024-04-08,2,5,Amazon_Logistics,EXPRESS,3.87,17.5,13.5,8.9,2098.26,1204.82,2.57,22.13
2023-09-06,1,6,USPS,ECONOMY,0.74,8.8,8.6,1.9,145.04,862.47,11.42,8.11
2024-04-07,9,6,UPS,OVERNIGHT,1.68,11.6,10.0,2.5,292.0,1700.66,1.79,28.92
2024-12-03,2,7,LaserShip,STANDARD,4.04,18.6,12.2,6.8,1555.3,1274.81,8.13,13.72
2023-04-07,3,7,LaserShip,STANDARD,3.14,13.0,9.5,3.1,377.09,1470.25,7.22,13.47
2024-12-01,9,8,OnTrac,PRIORITY,8.34,19.0,21.1,12.4,4953.04,876.79,4.85,23.52
2023-05-04,5,6,OnTrac,ECONOMY,2.88,13.9,12.2,4.1,693.06,1663.15,10.77,10.05
2023-05-23,8,4,USPS,PRIORITY,9.76,24.7,14.9,9.6,3533.91,1144.0,3.94,18.01
2023-11-27,6,1,OnTrac,STANDARD,7.18,24.0,18.6,11.0,4938.97,1703.4,6.56,14.23
2024-04-29,4,6,FedEx,STANDARD,4.6,18.7,11.6,6.9,1507.37,687.27,6.61,18.5
2023-08-24,9,1,Amazon_Logistics,PRIORITY,0.6,11.7,8.8,1.4,148.81,1896.64,2.86,11.25
2024-04-04,7,8,USPS,EXPRESS,0.68,10.5,7.4,2.1,160.44,1518.75,2.84,13.99
2023-02-19,8,8,OnTrac,STANDARD,1.82,10.9,7.8,2.6,217.11,195.18,7.6,16.61
2023-06-25,4,5,FedEx,STANDARD,5.7,16.8,12.2,7.0,1430.21,1167.3,5.34,17.07
2024-05-24,9,6,DHL,ECONOMY,7.3,30.1,17.8,14.1,7560.28,1993.3,10.93,27.4
2023-01-03,6,8,Amazon_Logistics,PRIORITY,3.73,16.9,16.5,6.6,1851.79,620.18,5.34,18.61
2023-11-14,4,6,FedEx,OVERNIGHT,1.43,12.7,7.6,2.7,258.47,1488.33,1.51,32.88
2024-03-06,4,4,LaserShip,EXPRESS,5.61,16.3,10.4,8.5,1431.79,973.56,3.34,21.21
2024-08-09,9,5,OnTrac,ECONOMY,1.0,13.0,9.4,3.0,363.27,1666.93,11.9,8.34
2024-10-14,6,3,UPS,EXPRESS,5.08,18.5,12.2,5.0,1135.09,38.16,2.26,26.21
2024-08-21,5,1,Amazon_Logistics,EXPRESS,1.35,12.0,9.0,3.4,371.75,1111.18,2.25,15.98
2024-09-27,8,2,OnTrac,EXPRESS,1.36,11.5,8.7,3.1,310.35,1152.39,3.22,16.09
2023-01-13,8,6,DHL,STANDARD,2.91,13.7,10.5,4.9,703.34,1931.34,8.94,14.88
2024-08-15,2,2,UPS,STANDARD,10.31,24.6,19.6,12.1,5867.48,988.58,4.89,23.7
2024-07-11,3,3,Amazon_Logistics,OVERNIGHT,1.03,12.3,7.7,1.9,176.97,1898.76,1.94,21.92
2023-04-30,2,9,USPS,EXPRESS,6.94,23.0,17.5,9.6,3852.94,1216.57,2.8,21.64
2023-12-26,4,9,LaserShip,ECONOMY,6.8,23.9,18.4,14.8,6516.64,906.52,15.41,16.44
2024-01-29,7,5,DHL,PRIORITY,0.86,10.0,8.5,1.7,141.33,1245.84,4.53,19.41
2024-07-28,4,4,Amazon_Logistics,OVERNIGHT,3.75,18.5,17.4,5.4,1752.34,1324.25,1.39,24.64
2023-04-01,3,9,FedEx,EXPRESS,1.33,11.2,10.1,3.6,411.74,321.5,2.55,25.88
2023-01-02,8,5,DHL,STANDARD,1.05,11.3,9.6,3.1,335.39,470.64,9.23,17.33
2023-12-05,8,2,OnTrac,PRIORITY,5.33,15.0,11.5,8.3,1445.4,474.51,4.44,19.71
2024-06-21,4,7,UPS,ECONOMY,1.28,11.8,8.3,2.4,232.27,1093.68,9.81,12.98
2023-05-25,5,3,OnTrac,EXPRESS,1.86,11.4,9.2,3.0,313.33,128.68,4.02,17.52
2023-12-07,5,8,LaserShip,PRIORITY,2.05,11.4,9.9,3.3,375.13,942.71,5.99,12.24
2024-05-31,5,9,UPS,STANDARD,0.88,10.6,8.9,2.2,211.4,992.65,8.79,16.55
2024-12-03,1,7,USPS,ECONOMY,5.15,18.2,12.8,7.8,1815.04,651.42,12.81,10.82
2024-01-19,2,4,UPS,OVERNIGHT,6.28,16.6,11.5,8.0,1536.58,1673.56,1.48,33.44
2024-02-23,1,5,Amazon_Logistics,ECONOMY,1.15,8.6,8.6,2.2,162.94,90.06,9.46,7.81
2024-01-09,8,9,LaserShip,EXPRESS,5.28,16.4,13.9,7.9,1796.59,890.04,4.26,20.34
2023-10-04,7,8,UPS,EXPRESS,1.19,11.5,9.2,3.5,366.36,945.32,3.06,21.42
2023-05-21,6,2,DHL,PRIORITY,3.01,15.7,9.3,3.7,535.56,666.31,4.99,18.64
2024-12-09,5,7,OnTrac,STANDARD,0.45,9.4,9.5,1.6,140.55,83.03,8.92,10.61
2024-09-11,5,6,USPS,PRIORITY,1.33,10.8,9.6,3.1,322.91,1940.67,3.18,14.48
2023-07-21,1,9,DHL,ECONOMY,6.68,25.6,17.8,15.3,6980.45,832.36,9.27,26.9
2023-01-18,6,8,FedEx,ECONOMY,5.35,15.9,12.3,7.7,1509.53,889.66,7.22,17.87
2024-01-24,5,9,USPS,EXPRESS,3.06,13.9,12.2,4.2,714.12,1856.07,3.58,20.36
2023-04-20,2,1,DHL,STANDARD,5.71,17.0,13.6,8.2,1906.6,1221.65,5.94,18.75
2024-12-11,5,9,FedEx,EXPRESS,1.07,11.2,10.6,3.0,354.34,1108.98,3.03,22.78
2024-06-10,2,8,USPS,EXPRESS,0.93,13.0,8.4,2.8,306.34,1298.94,2.92,11.68
2024-10-19,5,9,FedEx,STANDARD,5.43,13.5,12.9,8.9,1554.97,554.12,5.95,19.56
2023-04-29,8,4,LaserShip,STANDARD,9.99,24.0,15.9,14.7,5615.1,1107.02,7.41,16.37
2023-04-29,9,3,DHL,EXPRESS,1.3,12.3,7.2,2.9,253.46,559.73,2.14,24.65
2024-03-15,6,9,LaserShip,STANDARD,4.68,21.2,14.9,5.5,1735.5,1642.89,11.16,14.89
2023-01-19,8,3,UPS,PRIORITY,9.17,24.1,16.8,13.3,5388.38,1081.78,4.14,26.32
2023-10-07,9,9,UPS,PRIORITY,8.84,26.5,17.0,14.4,6492.84,916.14,6.22,27.34
2023-08-01,4,7,UPS,EXPRESS,2.53,16.4,11.2,3.6,665.21,1713.47,2.69,24.96
2023-05-21,6,8,DHL,OVERNIGHT,7.14,16.8,11.3,8.0,1518.01,1827.73,2.61,42.24
2023-10-02,3,8,DHL,STANDARD,1.19,12.0,9.1,3.3,359.42,261.23,8.05,14.6
2023-06-04,2,8,Amazon_Logistics,PRIORITY,1.97,12.5,9.6,2.8,332.74,1056.64,3.85,11.58
2024-10-25,3,7,DHL,OVERNIGHT,4.54,16.4,13.3,10.0,2173.14,1940.21,2.3,39.72
2023-01-18,5,6,USPS,STANDARD,0.55,9.8,8.7,2.2,187.88,1388.48,8.77,11.81
2024-10-01,6,9,OnTrac,OVERNIGHT,8.94,22.5,18.7,12.9,5426.44,1908.74,2.13,32.66
2023-04-04,9,1,OnTrac,STANDARD,0.74,10.0,8.9,2.2,192.85,146.16,7.25,3.86
2023-02-03,4,2,OnTrac,PRIORITY,6.6,26.8,14.9,11.3,4514.5,1956.89,2.87,21.52
2024-11-21,8,3,LaserShip,OVERNIGHT,5.48,15.3,12.4,7.9,1504.23,605.94,1.7,19.87
2023-06-29,6,1,USPS,OVERNIGHT,3.84,19.8,13.3,4.6,1211.51,723.34,1.65,26.46
2023-06-30,4,9,DHL,EXPRESS,12.03,23.2,17.4,11.4,4595.56,1136.2,3.82,41.39
2023-05-12,3,3,LaserShip,EXPRESS,1.44,13.2,9.2,2.9,351.7,1222.89,2.84,15.64
2023-09-07,4,8,DHL,ECONOMY,0.79,10.7,8.0,2.2,191.49,294.8,12.04,11.89
2024-07-05,8,5,DHL,PRIORITY,2.1,17.5,12.4,9.2,1994.55,28.7,6.07,21.36
2023-09-25,5,9,LaserShip,STANDARD,2.21,15.6,9.9,4.4,669.46,156.99,8.73,14.53
2024-10-31,5,7,UPS,ECONOMY,5.5,15.7,12.3,9.0,1740.39,507.7,10.18,15.53
2024-11-12,4,7,LaserShip,PRIORITY,10.29,29.8,17.9,12.4,6585.72,222.24,6.16,23.28
2024-06-26,6,5,DHL,ECONOMY,3.85,17.0,10.6,10.0,1801.95,597.51,11.17,14.1
2023-12-01,5,1,LaserShip,STANDARD,0.87,9.9,8.3,2.1,172.12,1731.48,8.54,7.56
2023-12-16,8,5,LaserShip,OVERNIGHT,2.11,13.7,12.1,4.7,776.46,1218.06,2.1,24.21
2023-10-22,4,5,UPS,EXPRESS,5.13,15.5,13.7,7.8,1657.16,1513.6,2.48,25.8
2024-07-31,2,1,LaserShip,EXPRESS,3.49,16.0,12.0,7.4,1428.0,1579.33,2.02,11.55
2024-09-27,6,3,USPS,ECONOMY,1.8,11.2,7.8,3.7,327.99,1820.16,7.42,8.48
2024-02-01,3,4,UPS,STANDARD,4.08,15.4,10.6,2.5,409.12,1575.16,4.41,11.01
2024-09-16,9,5,UPS,ECONOMY,3.12,15.4,13.7,4.8,1020.03,521.37,10.31,12.16
2023-08-07,5,6,LaserShip,STANDARD,1.48,12.9,9.3,3.0,363.99,941.98,7.5,9.26
2024-08-27,4,7,USPS,EXPRESS,0.62,8.3,7.9,1.7,112.09,737.89,3.09,20.67
2023-04-25,1,5,LaserShip,STANDARD,0.95,10.9,6.7,1.7,125.4,255.94,6.86,8.46
2024-04-09,7,6,UPS,PRIORITY,1.1,12.7,8.1,3.0,313.6,1352.92,3.51,16.99
2024-08-18,9,6,DHL,OVERNIGHT,0.89,8.4,8.4,2.0,140.02,450.52,1.94,38.65
2024-03-04,5,7,USPS,STANDARD,1.66,12.2,8.6,3.1,319.73,288.16,7.36,10.9
2023-09-04,8,2,USPS,PRIORITY,2.02,11.2,8.4,2.4,222.11,477.25,2.4,10.2
2024-01-02,7,8,Amazon_Logistics,EXPRESS,5.25,16.7,15.3,5.7,1461.32,1344.27,2.97,22.46
2023-02-17,7,3,OnTrac,ECONOMY,9.03,22.0,21.9,9.9,4742.22,1313.29,11.39,15.0
2024-06-11,7,5,LaserShip,STANDARD,1.46,11.8,8.9,3.0,315.93,1383.66,9.2,12.47
2023-09-12,8,4,FedEx,STANDARD,6.37,17.0,12.1,5.9,1215.82,207.72,4.8,18.79
2024-01-26,9,6,OnTrac,PRIORITY,1.99,14.0,8.5,3.3,387.92,802.3,4.53,14.21
2023-12-31,8,2,FedEx,OVERNIGHT,3.78,15.1,10.8,7.2,1173.26,432.09,1.18,30.19
2024-06-20,1,1,OnTrac,ECONOMY,4.9,18.4,11.8,6.3,1371.45,494.7,5.21,8.28
2024-07-24,4,2,FedEx,ECONOMY,0.87,11.2,7.0,2.5,197.53,422.24,6.15,6.76
2023-05-16,6,3,FedEx,EXPRESS,0.65,10.6,8.1,2.2,183.97,15.64,2.24,18.44
2024-12-22,3,9,LaserShip,EXPRESS,5.24,17.8,12.7,5.3,1209.98,1599.04,4.51,20.91
2023-11-21,3,1,USPS,OVERNIGHT,4.32,16.0,13.6,7.1,1541.55,1582.07,1.9,25.58
2024-11-24,6,1,FedEx,ECONOMY,2.71,14.3,10.7,4.1,620.61,538.08,8.62,8.41
2023-03-01,9,2,FedEx,STANDARD,5.51,14.7,10.4,5.8,888.95,136.48,3.9,10.85
2024-02-15,9,2,DHL,PRIORITY,9.93,24.9,22.5,12.0,6721.9,1012.64,3.81,31.11
2024-11-27,9,5,Amazon_Logistics,OVERNIGHT,9.05,26.2,17.5,12.5,5716.58,1290.25,1.48,35.41
2023-10-01,8,7,USPS,OVERNIGHT,6.97,23.6,16.6,13.0,5087.29,1375.33,1.81,29.53
2023-09-15,2,2,DHL,STANDARD,4.89,20.0,14.7,6.0,1749.16,1220.51,8.05,17.47
2024-07-01,5,9,USPS,EXPRESS,4.69,16.0,10.4,6.7,1122.45,657.12,3.0,19.82
2023-05-23,5,8,Amazon_Logistics,ECONOMY,0.88,10.1,8.4,2.0,167.64,1214.8,11.47,7.66
2023-03-07,9,4,USPS,OVERNIGHT,9.52,21.7,17.7,9.8,3789.35,908.59,1.96,32.68
2023-06-16,6,8,FedEx,STANDARD,7.93,23.5,20.7,12.3,5959.65,837.82,6.1,24.99
2023-04-04,7,6,USPS,PRIORITY,5.0,15.4,12.2,8.2,1537.7,517.23,4.55,17.71
2023-12-16,2,2,FedEx,STANDARD,1.78,13.1,7.7,1.9,186.36,195.53,3.58,10.79
2023-02-03,3,9,USPS,PRIORITY,1.73,10.6,7.4,3.2,253.58,1177.07,4.34,8.69
2024-10-28,6,2,Amazon_Logistics,ECONOMY,8.81,22.7,18.7,9.3,3963.06,713.66,8.79,12.88
2023-10-24,1,5,OnTrac,STANDARD,0.77,10.1,7.2,2.4,172.39,631.77,7.67,9.01
2024-03-22,9,4,USPS,ECONOMY,3.76,13.4,10.0,3.9,522.69,1316.91,6.46,6.29
2023-05-31,6,9,FedEx,OVERNIGHT,5.07,20.6,13.7,5.4,1527.71,238.62,1.62,40.74
2024-05-10,4,7,UPS,ECONOMY,0.7,10.7,7.6,2.6,215.1,1949.35,11.36,11.15
2024-12-24,9,1,LaserShip,ECONOMY,0.68,11.3,9.2,2.0,210.07,1858.88,10.52,3.36
2024-04-23,1,3,LaserShip,PRIORITY,4.36,21.6,14.2,5.7,1740.33,1408.37,3.24,11.43
2024-04-12,6,1,UPS,PRIORITY,3.1,15.7,10.3,3.4,543.39,1741.03,3.99,16.94
2023-09-28,2,3,Amazon_Logistics,STANDARD,6.5,17.6,11.1,6.3,1228.22,1270.01,6.02,11.93
2023-02-28,9,4,USPS,OVERNIGHT,12.18,27.2,19.0,12.8,6623.1,845.47,1.31,35.35
2023-10-11,6,5,UPS,EXPRESS,5.51,16.1,12.3,9.8,1949.93,655.52,2.83,28.98
2023-03-14,2,1,Amazon_Logistics,ECONOMY,1.7,13.5,10.1,3.4,458.5,323.25,12.51,4.12
2024-12-17,2,5,Amazon_Logistics,OVERNIGHT,9.89,23.5,17.5,12.6,5156.26,1327.26,1.94,30.56
2024-12-29,8,7,DHL,ECONOMY,5.55,17.7,14.4,5.8,1471.72,438.98,12.42,18.35
2023-03-21,6,7,Amazon_Logistics,OVERNIGHT,1.11,12.8,10.1,3.1,396.5,573.66,2.01,22.48
2023-08-13,8,9,OnTrac,ECONOMY,5.02,15.2,12.7,9.5,1826.17,623.75,13.5,16.18
