ship_date,origin_zip,dest_zip,origin_zone,dest_zone,carrier,service_level,package_weight_lbs,package_length_in,package_width_in,package_height_in,transit_time_days,shipping_cost_usd
2023-01-02,70010,20057,7,8,UPS,Ground,1.98,7.7,8.1,4.3,4.5,13.03
2023-01-02,50035,10060,5,8,USPS,Priority,2.57,8.3,4.2,4.0,1.4,17.26
2023-01-02,97032,90078,5,4,FedEx,Priority,1.65,8.0,7.7,4.6,2.8,21.53
2023-01-02,83041,83093,2,2,USPS,Express,8.05,5.3,10.3,2.0,1.9,31.13
2023-01-02,30083,30053,7,7,Amazon_Logistics,Ground,0.96,4.0,5.2,3.1,3.4,8.24
2023-01-02,10083,83043,8,2,Amazon_Logistics,Ground,11.6,9.4,8.6,5.3,5.8,38.09
2023-01-02,20019,50033,8,5,Amazon_Logistics,Priority,1.61,6.7,6.8,2.9,3.1,18.6
2023-01-02,90064,90032,4,4,Regional_Express,Priority,6.08,7.9,7.3,4.1,2.8,17.19
2023-01-02,60092,10078,6,8,LaserShip,Ground,5.5,4.9,7.3,5.9,4.1,16.96
2023-01-02,90044,33084,4,8,FedEx,Ground,2.49,5.6,4.3,4.5,4.6,24.03
2023-01-02,90059,10075,4,8,UPS,Ground,0.39,4.0,4.0,3.3,4.9,20.73
2023-01-02,50028,30076,5,7,UPS,Ground,6.98,4.0,7.9,6.4,4.0,22.61
2023-01-02,50071,80034,5,4,USPS,Priority,2.06,6.6,5.4,2.7,3.0,15.57
2023-01-02,60023,90040,6,4,Amazon_Logistics,Overnight,0.67,9.0,5.4,4.0,1.0,67.27
2023-01-02,90045,83017,4,2,DHL,Ground,0.77,6.5,5.4,6.7,4.7,17.17
2023-01-02,20022,60044,8,6,OnTrac,Priority,0.44,9.5,6.4,3.0,2.4,19.63
2023-01-02,70036,60086,7,6,FedEx,Ground,2.32,10.5,5.8,4.3,4.3,17.67
2023-01-02,50092,10094,5,8,FedEx,Express,0.42,7.1,6.2,6.0,1.1,40.86
2023-01-02,20063,90059,8,4,FedEx,Priority,12.95,15.1,7.4,8.3,2.8,64.24
2023-01-02,50060,30073,5,7,OnTrac,Ground,4.75,4.0,4.2,2.0,4.2,17.96
2023-01-02,14097,55039,7,5,UPS,Express,0.3,6.0,5.3,3.6,1.0,28.57
2023-01-02,30084,10064,7,8,UPS,Express,8.26,6.4,7.7,3.2,2.2,40.73
2023-01-02,97041,60070,5,6,Amazon_Logistics,Ground,0.73,5.2,3.2,3.4,3.8,8.19
2023-01-02,10082,10056,8,8,OnTrac,Express,3.86,5.8,4.7,5.3,2.0,22.64
2023-01-02,90037,33087,4,8,FedEx,Express,3.86,5.0,5.8,6.0,2.0,56.02
2023-01-02,30024,80098,7,4,FedEx,Priority,2.14,4.1,3.2,4.3,2.3,21.63
2023-01-02,40027,33043,6,8,UPS,Express,7.24,13.0,4.0,2.6,1.8,48.01
2023-01-02,70068,40042,7,6,UPS,Ground,0.89,4.0,6.5,3.7,3.8,13.69
2023-01-02,90088,90060,4,4,DHL,Priority,2.19,10.2,7.0,3.9,1.7,21.32
2023-01-02,90056,90023,4,4,FedEx,Ground,0.53,6.7,8.4,2.0,2.4,12.32
2023-01-02,90032,90053,4,4,LaserShip,Ground,0.92,6.8,4.9,2.2,4.0,10.09
2023-01-02,60078,80069,6,4,Regional_Express,Overnight,2.39,5.5,5.5,3.8,2.2,75.58
2023-01-02,90023,70039,4,7,FedEx,Priority,0.93,5.0,6.0,4.1,2.9,20.72
2023-01-02,30081,30023,7,7,FedEx,Priority,3.35,11.6,8.4,2.0,1.0,17.52
2023-01-02,55062,60048,5,6,DHL,Ground,1.94,7.7,4.1,3.3,4.5,18.97
2023-01-02,97036,20038,5,8,OnTrac,Ground,0.55,4.7,6.8,4.3,5.1,15.8
2023-01-02,90040,60097,4,6,FedEx,Express,39.43,18.8,5.1,9.0,2.2,171.96
2023-01-02,30036,40029,7,6,USPS,Ground,1.96,8.2,4.1,2.0,4.1,13.95
2023-01-02,14069,30085,7,7,USPS,Ground,0.9,8.7,4.2,3.0,3.2,8.55
2023-01-02,80063,70049,4,7,DHL,Express,6.67,6.3,7.4,3.5,1.7,62.26
2023-01-02,10084,30011,8,7,USPS,Express,3.82,7.1,5.1,4.4,1.9,27.0
2023-01-02,40061,40097,6,6,USPS,Ground,0.8,7.9,4.2,2.7,3.2,8.84
2023-01-02,60029,33072,6,8,Regional_Express,Overnight,21.61,12.7,10.0,7.4,1.7,173.18
2023-01-02,20038,60054,8,6,USPS,Ground,2.23,9.0,6.7,2.3,5.2,15.14
2023-01-02,97047,60072,5,6,USPS,Ground,0.93,5.9,4.0,5.2,4.0,11.17
2023-01-02,33064,83041,8,2,UPS,Priority,1.51,6.5,4.3,2.7,3.7,32.51
2023-01-02,60017,20044,6,8,LaserShip,Ground,3.36,7.9,5.1,6.2,3.9,15.75
2023-01-02,70057,48016,7,7,UPS,Express,3.28,8.0,7.5,5.9,1.8,29.51
2023-01-02,90076,33021,4,8,OnTrac,Priority,5.39,6.1,7.5,3.9,3.1,30.44
2023-01-02,70096,99090,7,4,OnTrac,Express,9.04,8.9,5.6,8.8,2.6,44.17
2023-01-02,90035,70038,4,7,FedEx,Ground,0.32,7.1,7.3,4.8,4.3,21.3
2023-01-02,33094,10066,8,8,Amazon_Logistics,Ground,0.67,7.8,4.8,7.3,3.4,10.25
2023-01-02,83071,60073,2,6,OnTrac,Ground,1.91,6.1,6.3,3.7,5.7,21.2
2023-01-02,14064,10031,7,8,FedEx,Priority,3.03,4.0,5.5,3.0,1.7,25.67
2023-01-03,30026,90098,7,4,DHL,Priority,0.64,10.5,6.2,2.8,3.3,31.44
2023-01-03,80089,33092,4,8,LaserShip,Priority,2.89,9.1,6.6,4.9,3.4,20.41
2023-01-03,70035,10056,7,8,Regional_Express,Ground,0.47,10.9,4.0,3.1,4.2,11.11
2023-01-03,70096,97091,7,5,DHL,Priority,1.54,5.2,8.0,4.4,2.6,28.01
2023-01-03,70054,14012,7,7,USPS,Express,5.79,5.7,5.9,3.8,2.7,26.5
2023-01-03,90091,20025,4,8,UPS,Ground,1.33,8.3,5.4,3.8,5.0,19.15
2023-01-03,30055,20071,7,8,LaserShip,Ground,1.61,5.4,3.1,4.8,4.0,11.4
2023-01-03,48014,80058,7,4,USPS,Ground,0.43,4.4,3.7,2.5,5.0,12.93
2023-01-03,33077,90068,8,4,DHL,Overnight,4.41,6.9,5.8,5.6,1.0,164.04
2023-01-03,90068,40029,4,6,LaserShip,Priority,3.06,5.9,5.0,4.0,3.7,21.7
2023-01-03,60018,05029,6,8,OnTrac,Overnight,1.13,4.1,6.1,5.5,1.5,69.65
2023-01-03,90098,50077,4,5,UPS,Express,0.89,5.5,5.4,4.3,2.0,31.41
2023-01-03,14097,55047,7,5,Regional_Express,Ground,1.59,10.0,4.5,4.2,4.6,13.99
2023-01-03,80067,40065,4,6,UPS,Express,4.97,7.8,6.2,7.7,1.5,41.06
2023-01-03,70057,30022,7,7,UPS,Priority,4.79,10.0,8.0,5.7,1.6,19.54
2023-01-03,60039,30040,6,7,USPS,Ground,7.9,9.2,5.4,3.7,3.9,14.97
2023-01-03,10069,80097,8,4,LaserShip,Priority,1.12,5.1,5.0,3.3,3.2,23.84
2023-01-03,97046,97031,5,5,USPS,Overnight,1.06,6.7,6.4,2.2,1.1,51.87
2023-01-03,10091,60023,8,6,FedEx,Overnight,2.38,5.7,5.2,2.0,1.0,115.92
2023-01-03,14055,14038,7,7,UPS,Overnight,6.04,8.1,7.6,3.7,1.0,103.29
2023-01-03,10076,55065,8,5,LaserShip,Ground,1.47,7.7,3.6,6.5,5.8,14.56
2023-01-03,20070,20073,8,8,Amazon_Logistics,Priority,2.72,10.3,8.9,2.0,1.6,13.72
2023-01-03,60017,55036,6,5,OnTrac,Priority,3.14,9.7,5.8,5.4,3.3,20.46
2023-01-03,40026,48018,6,7,Amazon_Logistics,Ground,0.79,6.2,3.0,4.6,3.5,11.73
2023-01-03,55081,10027,5,8,UPS,Express,2.29,6.5,6.6,6.1,1.8,39.0
2023-01-03,33050,10085,8,8,DHL,Overnight,1.64,4.2,7.1,5.3,1.1,89.53
2023-01-03,14011,14042,7,7,Regional_Express,Priority,0.41,4.1,6.0,4.5,2.7,11.73
2023-01-03,50070,40015,5,6,DHL,Express,7.21,11.9,7.1,4.5,2.3,51.45
2023-01-03,80016,50093,4,5,FedEx,Express,6.37,9.0,5.4,4.7,1.4,39.44
2023-01-03,90096,90022,4,4,Regional_Express,Express,0.35,8.0,6.9,3.4,2.5,21.7
2023-01-03,60053,48079,6,7,OnTrac,Priority,1.71,6.7,6.0,2.2,3.2,13.45
2023-01-03,48040,70070,7,7,USPS,Priority,6.58,9.8,6.4,7.9,2.5,22.4
2023-01-03,20075,55043,8,5,FedEx,Priority,0.68,4.0,4.1,2.0,2.3,26.0
2023-01-03,90096,30053,4,7,OnTrac,Ground,0.12,6.7,4.7,2.5,5.2,12.98
2023-01-03,33093,90079,8,4,LaserShip,Express,0.69,4.0,7.1,6.1,2.7,31.56
2023-01-03,90019,40023,4,6,USPS,Ground,11.6,7.8,7.3,3.0,4.3,21.56
2023-01-03,80093,20046,4,8,UPS,Ground,7.35,8.6,5.8,8.6,4.8,31.76
2023-01-03,80029,55011,4,5,FedEx,Ground,0.48,7.3,5.1,2.3,3.1,16.84
2023-01-03,33052,14098,8,7,Regional_Express,Express,1.44,8.5,3.0,8.6,2.2,23.82
2023-01-03,30061,55059,7,5,LaserShip,Ground,2.17,5.4,6.7,3.7,4.7,12.4
2023-01-03,83052,50039,2,5,USPS,Express,4.32,8.0,5.2,4.5,2.1,36.15
2023-01-03,90028,20089,4,8,USPS,Priority,3.82,11.0,4.3,3.5,2.2,26.32
2023-01-03,30098,60022,7,6,OnTrac,Priority,8.28,9.6,6.4,7.1,3.9,21.2
2023-01-03,14091,90032,7,4,LaserShip,Ground,1.42,6.7,4.9,3.9,4.9,12.68
2023-01-03,90030,10069,4,8,OnTrac,Express,4.78,12.4,5.5,4.4,2.7,46.15
2023-01-03,50075,60018,5,6,FedEx,Ground,1.75,8.7,4.6,3.9,2.9,13.53
2023-01-03,60046,55053,6,5,UPS,Express,4.58,4.0,7.2,6.2,2.4,34.24
2023-01-03,55056,90034,5,4,Amazon_Logistics,Express,0.49,5.3,3.2,3.5,2.0,19.28
2023-01-03,60036,20037,6,8,UPS,Express,4.13,4.0,4.4,6.0,1.2,36.12
2023-01-04,80065,30070,4,7,UPS,Ground,1.62,7.6,5.5,6.1,4.8,16.43
2023-01-04,90031,10095,4,8,USPS,Express,2.94,9.3,4.9,2.3,3.1,36.48
2023-01-04,10046,40059,8,6,Amazon_Logistics,Priority,2.55,8.6,6.2,5.2,2.7,16.23
2023-01-04,60058,05042,6,8,OnTrac,Ground,5.61,11.4,3.8,5.1,5.0,14.67
2023-01-04,10011,80044,8,4,OnTrac,Express,0.89,9.8,7.2,3.1,3.5,39.49
2023-01-04,30041,30045,7,7,Amazon_Logistics,Ground,0.55,4.8,4.2,3.4,2.4,9.18
2023-01-04,30036,20030,7,8,UPS,Ground,8.93,10.9,6.5,2.0,3.0,17.95
2023-01-04,14096,20017,7,8,DHL,Express,6.12,9.5,5.8,2.4,2.8,44.65
2023-01-04,10025,90017,8,4,FedEx,Priority,0.55,5.6,6.4,3.9,3.7,
2023-01-04,40041,20025,6,8,USPS,Express,1.23,5.6,3.6,2.0,1.4,22.61
2023-01-04,50076,60071,5,6,UPS,Ground,2.43,11.8,5.4,5.4,3.7,13.97
2023-01-04,20097,20087,8,8,FedEx,Priority,0.85,8.1,4.8,2.6,1.8,15.81
2023-01-04,55029,48019,5,7,USPS,Priority,1.61,8.1,7.0,4.8,3.0,14.03
2023-01-04,90034,90017,4,4,Regional_Express,Express,0.34,6.2,5.2,2.2,3.0,17.7
2023-01-04,97052,90069,5,4,LaserShip,Ground,5.18,4.0,5.2,3.4,5.2,14.65
2023-01-04,70088,50096,7,5,USPS,Ground,0.89,5.7,4.5,4.0,4.1,11.44
2023-01-04,60061,20047,6,8,OnTrac,Ground,0.42,5.7,3.5,2.0,4.6,13.22
2023-01-04,90064,90071,4,4,UPS,Express,0.95,7.0,3.2,4.1,1.7,24.47
2023-01-04,70020,80030,7,4,USPS,Priority,1.6,4.7,4.6,2.5,2.9,20.98
2023-01-04,97061,20047,5,8,Regional_Express,Ground,2.21,5.2,5.1,3.4,5.6,15.26
2023-01-04,10037,50043,8,5,Regional_Express,Ground,0.36,5.6,4.7,5.2,5.6,13.87
2023-01-04,50081,33052,5,8,DHL,Express,1.46,6.6,5.2,3.0,1.8,33.49
2023-01-04,90061,90092,4,4,OnTrac,Express,1.05,5.5,5.4,2.7,1.9,22.94
2023-01-04,99090,99017,4,4,USPS,Priority,0.4,8.9,4.5,3.3,2.7,12.41
2023-01-04,33071,90030,8,4,FedEx,Ground,0.6,6.1,6.0,3.7,5.7,23.19
2023-01-04,90019,90026,4,4,OnTrac,Overnight,0.91,4.0,3.0,2.0,1.6,62.52
2023-01-04,48094,30041,7,7,OnTrac,Express,0.49,8.2,4.5,4.5,3.4,22.47
2023-01-04,10017,60016,8,6,FedEx,Ground,1.42,5.7,4.1,5.3,4.4,18.06
2023-01-04,20094,55061,8,5,Regional_Express,Priority,1.7,4.0,5.9,5.1,,20.69
2023-01-04,90072,10032,4,8,USPS,Express,2.29,8.5,4.5,4.8,2.9,33.86
2023-01-04,90012,80013,4,4,UPS,Ground,5.98,6.8,6.6,2.0,3.1,17.73
2023-01-04,80050,90018,4,4,DHL,Express,0.39,4.1,4.3,2.4,1.8,21.61
2023-01-04,90033,05035,4,8,DHL,Ground,8.86,6.7,8.9,4.0,5.3,35.1
2023-01-04,97023,90097,5,4,DHL,Ground,3.44,4.9,5.6,3.0,5.0,21.66
2023-01-04,70028,60072,7,6,Regional_Express,Ground,1.39,5.5,6.0,5.4,4.6,12.56
2023-01-04,30064,70027,7,7,LaserShip,Ground,3.57,8.9,4.4,3.3,3.4,14.36
2023-01-04,83024,40056,2,6,Amazon_Logistics,Priority,5.47,4.0,4.2,5.2,2.1,24.92
2023-01-04,97079,55060,5,5,OnTrac,Overnight,1.03,4.0,5.7,2.9,1.0,44.36
2023-01-04,83013,30044,2,7,Regional_Express,Ground,4.06,8.9,6.3,2.3,6.8,21.79
2023-01-04,33045,48039,8,7,USPS,Ground,0.64,4.4,3.6,2.0,3.8,10.66
2023-01-04,30065,48091,7,7,LaserShip,Overnight,1.83,4.3,3.0,2.2,1.5,64.63
2023-01-04,60080,10051,6,8,Amazon_Logistics,Priority,2.84,9.4,6.0,4.1,3.0,17.36
2023-01-04,33058,10098,8,8,LaserShip,Overnight,0.72,5.9,5.6,6.7,1.9,47.59
2023-01-04,33058,10079,8,8,Regional_Express,Ground,1.3,8.6,5.6,2.4,3.5,9.38
2023-01-04,60048,33085,6,8,LaserShip,Ground,6.67,8.1,5.4,4.7,4.1,19.23
2023-01-04,10029,10077,8,8,FedEx,Priority,0.39,6.3,4.5,4.5,1.7,17.18
2023-01-04,80075,10012,4,8,UPS,Overnight,1.38,12.6,5.5,2.6,1.0,115.13
2023-01-04,40060,90021,6,4,Regional_Express,Express,4.13,5.8,8.5,6.3,2.4,34.94
2023-01-04,48051,70093,7,7,DHL,Express,2.41,4.5,6.4,3.6,2.2,27.88
2023-01-04,90017,20057,4,8,LaserShip,Ground,12.97,6.7,8.0,9.4,5.4,34.05
2023-01-04,10039,90043,8,4,OnTrac,Ground,1.37,8.3,6.7,8.0,5.6,20.1
2023-01-04,90070,83018,4,2,Amazon_Logistics,Priority,10.05,10.0,6.7,2.0,2.7,31.74
2023-01-04,33095,90085,8,4,FedEx,Ground,2.85,5.1,4.7,3.4,4.2,20.68
2023-01-04,50066,10057,5,8,Regional_Express,Express,3.65,8.4,5.0,5.4,2.4,31.99
2023-01-04,20056,30079,8,7,OnTrac,Priority,2.96,5.9,6.7,2.0,3.4,21.1
2023-01-04,90072,10066,4,8,FedEx,Ground,2.76,7.2,5.9,4.9,4.8,28.65
2023-01-04,14015,83032,7,2,LaserShip,Ground,0.35,4.0,4.2,2.0,6.3,16.54
2023-01-05,10049,33023,8,8,DHL,Overnight,3.35,6.1,6.3,3.7,1.6,107.11
2023-01-05,30080,55072,7,5,DHL,Express,2.91,11.5,4.4,7.7,2.0,40.99
2023-01-05,30090,20018,7,8,DHL,Ground,0.25,5.5,3.0,4.8,4.7,13.73
2023-01-05,40017,90095,6,4,DHL,Priority,3.44,5.7,5.7,3.4,2.8,28.2
2023-01-05,40053,20082,6,8,DHL,Overnight,4.37,8.4,6.1,6.2,1.0,132.85
2023-01-05,70085,60056,7,6,DHL,Ground,0.61,5.3,6.7,3.3,4.9,17.01
2023-01-05,20013,10085,8,8,OnTrac,Express,2.52,7.0,7.4,5.1,3.4,23.81
2023-01-05,33034,48026,8,7,UPS,Ground,3.69,7.5,5.4,2.0,3.0,11.4
2023-01-05,30023,20057,7,8,OnTrac,Ground,1.79,4.0,4.8,2.7,4.5,13.81
2023-01-05,70018,33046,7,8,LaserShip,Ground,1.88,9.2,5.5,5.6,4.4,11.18
2023-01-05,60054,90049,6,4,LaserShip,Ground,3.79,6.7,6.8,7.0,4.9,14.44
2023-01-05,83078,90034,2,4,FedEx,Express,1.91,5.4,4.3,4.5,1.1,29.39
2023-01-05,10037,30093,8,7,UPS,Overnight,0.31,4.5,4.2,5.9,1.4,81.5
2023-01-05,50086,90023,5,4,Regional_Express,Express,2.03,8.1,5.8,5.0,2.6,22.15
2023-01-05,90090,30021,4,7,DHL,Ground,24.0,11.3,5.4,10.3,5.6,64.92
2023-01-05,10063,10045,8,8,DHL,Express,0.64,4.2,4.6,5.9,2.5,29.39
2023-01-05,30088,30072,7,7,LaserShip,Ground,1.26,6.2,5.8,2.0,2.8,9.95
2023-01-05,40046,70074,6,7,OnTrac,Ground,6.11,11.1,5.4,4.3,3.5,14.84
2023-01-05,80078,90043,4,4,OnTrac,Priority,7.5,13.3,6.6,5.8,1.4,17.37
2023-01-05,70024,20051,7,8,Amazon_Logistics,Overnight,3.31,6.3,7.2,4.8,1.0,78.37
2023-01-05,99031,40078,4,6,Regional_Express,Ground,9.32,14.7,8.2,6.4,3.7,18.81
2023-01-05,60094,60030,6,6,UPS,Overnight,0.23,7.4,3.6,4.0,1.7,60.47
2023-01-05,60026,05091,6,8,DHL,Express,11.71,12.7,6.8,2.7,2.2,64.08
2023-01-05,10073,83020,8,2,USPS,Ground,0.96,6.2,5.4,6.3,6.1,20.14
2023-01-05,60021,40026,6,6,UPS,Overnight,0.66,6.3,4.9,6.3,1.0,56.08
2023-01-05,20071,33032,8,8,UPS,Ground,0.19,11.8,6.1,4.0,2.7,12.06
2023-01-05,60013,90044,6,4,LaserShip,Ground,5.29,7.1,5.9,6.5,,17.09
2023-01-05,55031,97095,5,5,Regional_Express,Priority,0.76,7.0,3.8,2.0,2.3,13.19
2023-01-05,20066,97056,8,5,USPS,Overnight,1.46,5.7,4.4,4.2,1.2,78.92
2023-01-05,20044,80072,8,4,UPS,Ground,0.73,6.2,3.0,2.0,4.6,17.56
2023-01-05,90069,50054,4,5,Regional_Express,Express,2.44,8.3,5.2,2.0,2.8,22.79
2023-01-05,20043,30076,8,7,USPS,Priority,1.41,7.8,4.8,4.9,2.2,13.93
2023-01-05,20062,90030,8,4,DHL,Ground,7.25,7.0,7.5,3.2,5.1,39.12
2023-01-05,40063,60029,6,6,Amazon_Logistics,Express,3.7,5.0,6.4,5.2,2.3,30.87
2023-01-05,70096,90091,7,4,OnTrac,Ground,2.88,8.5,4.6,2.0,5.7,18.6
2023-01-05,30090,33097,7,8,DHL,Priority,0.7,8.3,4.6,2.5,3.6,19.4
2023-01-05,40091,90060,6,4,Regional_Express,Ground,1.31,7.8,5.0,7.0,5.4,10.91
2023-01-05,70019,60032,7,6,USPS,Ground,1.39,6.8,4.3,3.2,4.2,10.74
2023-01-05,10093,48092,8,7,FedEx,Express,1.43,5.6,5.1,4.8,1.0,25.04
2023-01-05,55080,90091,5,4,DHL,Express,8.34,6.9,8.4,4.4,2.6,58.63
2023-01-06,20018,33017,8,8,DHL,Express,0.69,8.3,3.5,6.3,3.3,28.53
2023-01-06,05022,70058,8,7,USPS,Ground,0.29,6.3,3.0,2.0,3.9,8.71
2023-01-06,90026,90063,4,4,USPS,Ground,3.06,7.7,5.4,3.3,3.2,10.1
2023-01-06,83067,50036,2,5,LaserShip,Express,1.36,5.1,3.7,3.1,1.8,26.54
2023-01-06,70016,70021,7,7,UPS,Ground,4.43,4.4,6.8,5.6,1.9,12.95
2023-01-06,20038,14037,8,7,UPS,Express,1.96,5.7,5.5,4.0,2.8,29.64
2023-01-06,90041,20031,4,8,Amazon_Logistics,Ground,0.85,5.1,5.4,2.2,5.2,16.48
2023-01-06,40077,99037,6,4,DHL,Express,5.72,5.6,5.1,4.7,3.4,51.38
2023-01-06,60084,70042,6,7,FedEx,Overnight,0.33,6.4,7.3,3.7,1.0,82.81
2023-01-06,55083,60022,5,6,DHL,Express,4.89,7.9,7.4,4.4,2.0,45.39
2023-01-06,40050,10077,6,8,FedEx,Overnight,1.73,7.2,4.7,2.0,1.0,93.12
2023-01-06,90013,20068,4,8,UPS,Ground,0.71,9.2,6.3,3.2,5.2,17.74
2023-01-06,30090,70093,7,7,DHL,Express,1.64,9.5,6.0,3.6,1.6,32.04
2023-01-06,80064,40057,4,6,UPS,Ground,1.07,6.2,7.7,3.4,3.3,12.08
2023-01-06,20010,20098,8,8,FedEx,Priority,0.43,4.0,5.2,3.9,2.6,18.57
2023-01-06,30093,60091,7,6,Amazon_Logistics,Express,0.81,5.1,3.1,3.8,1.6,23.8
2023-01-06,40078,90065,6,4,FedEx,Express,8.31,8.8,5.3,2.3,3.2,53.48
2023-01-06,48024,97017,7,5,FedEx,Ground,4.0,6.3,3.0,4.7,4.3,23.05
2023-01-06,97033,10013,5,8,USPS,Ground,1.84,8.6,4.5,2.0,5.2,13.44
2023-01-06,70063,40066,7,6,LaserShip,Overnight,0.79,4.3,3.7,2.6,1.7,56.34
2023-01-06,30078,90096,7,4,OnTrac,Express,0.7,4.5,4.5,2.4,3.6,28.44
2023-01-06,48063,10081,7,8,FedEx,Express,1.8,5.0,4.1,4.8,2.8,33.76
2023-01-06,33026,40057,8,6,Regional_Express,Ground,4.35,9.1,5.9,2.6,4.9,14.86
2023-01-06,80024,99048,4,4,Amazon_Logistics,Express,2.08,7.6,6.2,4.7,1.5,22.78
2023-01-06,40015,48061,6,7,DHL,Ground,2.25,5.8,4.4,7.1,4.1,13.86
2023-01-06,20077,10092,8,8,OnTrac,Priority,2.13,6.0,6.7,4.6,2.3,18.84
2023-01-06,14058,30092,7,7,FedEx,Ground,1.38,4.0,5.7,3.4,4.0,15.62
2023-01-06,10066,40016,8,6,Amazon_Logistics,Ground,1.69,6.7,4.3,3.1,3.8,12.58
2023-01-06,10021,10015,8,8,LaserShip,Ground,0.88,9.1,4.3,2.0,4.2,9.46
2023-01-06,30077,20022,7,8,FedEx,Priority,0.94,6.9,5.9,4.8,3.5,19.84
2023-01-06,10075,90067,8,4,FedEx,Ground,7.49,6.7,5.5,8.5,3.8,32.12
2023-01-06,14098,20089,7,8,UPS,Express,10.72,10.6,7.9,3.1,2.6,43.94
2023-01-06,48075,20062,7,8,USPS,Ground,5.42,9.9,3.7,6.3,4.5,14.25
2023-01-06,48035,33019,7,8,UPS,Express,0.39,8.7,5.1,2.9,1.7,27.78
2023-01-06,90019,20082,4,8,DHL,Priority,2.9,4.8,5.5,3.8,3.4,35.27
2023-01-06,90013,97082,4,5,OnTrac,Ground,11.77,11.1,5.8,7.3,4.8,17.32
2023-01-06,70042,50025,7,5,Regional_Express,Ground,2.72,7.8,5.6,5.4,5.3,14.51
2023-01-06,83017,60090,2,6,Amazon_Logistics,Overnight,4.82,12.7,4.8,2.0,2.4,119.39
2023-01-06,90070,70069,4,7,FedEx,Priority,42.97,18.6,16.6,9.1,3.2,109.49
2023-01-06,70086,90095,7,4,Regional_Express,Express,1.63,5.1,4.6,6.2,3.3,28.26
2023-01-06,20014,50030,8,5,FedEx,Priority,3.7,8.3,7.6,3.8,2.4,32.94
2023-01-06,10034,10070,8,8,FedEx,Ground,2.67,7.9,6.2,3.6,3.9,12.91
2023-01-06,70048,55094,7,5,LaserShip,Overnight,2.24,4.0,5.7,4.4,1.0,68.2
2023-01-06,33082,20046,8,8,DHL,Ground,0.77,9.0,3.0,3.1,4.2,14.97
2023-01-06,10031,20039,8,8,LaserShip,Ground,0.81,4.0,4.7,3.3,2.7,10.14
2023-01-06,60028,90037,6,4,Amazon_Logistics,Express,1.59,6.9,5.9,4.5,3.5,25.14
2023-01-06,60022,90043,6,4,Amazon_Logistics,Ground,1.88,7.2,6.2,3.9,3.8,13.59
2023-01-06,40035,60076,6,6,DHL,Ground,0.11,6.5,4.8,2.5,3.9,14.44
2023-01-06,10034,70037,8,7,Amazon_Logistics,Express,1.32,9.5,4.8,4.4,1.9,18.99
